"","county","Tract","FIPS","County","Bay Area"
"318","001",106050,"06001450200",79831,87000
"319","001",109036,"06001450300",79831,87000
"320","001",90542,"06001450400",79831,87000
"321","001",109432,"06001450501",79831,87000
"322","001",151016,"06001450502",79831,87000
"323","001",140170,"06001450601",79831,87000
"324","001",136630,"06001450602",79831,87000
"325","001",124000,"06001450603",79831,87000
"326","001",136326,"06001450604",79831,87000
"327","001",129833,"06001450605",79831,87000
"328","001",165042,"06001450606",79831,87000
"329","001",90745,"06001450607",79831,87000
"330","001",183354,"06001450701",79831,87000
"331","001",113611,"06001450741",79831,87000
"332","001",123071,"06001450742",79831,87000
"333","001",109410,"06001450743",79831,87000
"334","001",133359,"06001450744",79831,87000
"335","001",152813,"06001450745",79831,87000
"336","001",105278,"06001450746",79831,87000
"337","001",103929,"06001450750",79831,87000
"338","001",184539,"06001450751",79831,87000
"339","001",177093,"06001450752",79831,87000
"340","001",149203,"06001451101",79831,87000
"341","001",163170,"06001451102",79831,87000
"342","001",92450,"06001451201",79831,87000
"343","001",113828,"06001451202",79831,87000
"344","001",100699,"06001451300",79831,87000
"345","001",94063,"06001451401",79831,87000
"346","001",106250,"06001451403",79831,87000
"347","001",55994,"06001451404",79831,87000
"348","001",103350,"06001451501",79831,87000
"349","001",94013,"06001451503",79831,87000
"350","001",110563,"06001451504",79831,87000
"351","001",150388,"06001451505",79831,87000
"352","001",92198,"06001451506",79831,87000
"353","001",136836,"06001451601",79831,87000
"354","001",85925,"06001451602",79831,87000
"355","001",103005,"06001451701",79831,87000
"356","001",130369,"06001451703",79831,87000
"357","001",96964,"06001451704",79831,87000
"358","001",105714,"06001981900",79831,87000
"359","001",160417,"06001982000",79831,87000
"360","001",131250,"06001983200",79831,87000
"361","013",53750,"06013301000",82881,87000
"362","013",51186,"06013302005",82881,87000
"363","013",87869,"06013302006",82881,87000
"364","013",71023,"06013302007",82881,87000
"365","013",85597,"06013302008",82881,87000
"366","013",96814,"06013302009",82881,87000
"367","013",109093,"06013302010",82881,87000
"368","013",105821,"06013303102",82881,87000
"369","013",80373,"06013303103",82881,87000
"370","013",96442,"06013303201",82881,87000
"371","013",94788,"06013303202",82881,87000
"372","013",109150,"06013303203",82881,87000
"373","013",68718,"06013303204",82881,87000
"374","013",84306,"06013303205",82881,87000
"375","013",114306,"06013304001",82881,87000
"376","013",57813,"06013304002",82881,87000
"377","013",88750,"06013304003",82881,87000
"378","013",106337,"06013304004",82881,87000
"379","013",110972,"06013304005",82881,87000
"380","013",47500,"06013305000",82881,87000
"381","013",70385,"06013306002",82881,87000
"382","013",49688,"06013306003",82881,87000
"383","013",62520,"06013306004",82881,87000
"384","013",68250,"06013307101",82881,87000
"385","013",42711,"06013307102",82881,87000
"386","013",45600,"06013307201",82881,87000
"387","013",27530,"06013307202",82881,87000
"388","013",55022,"06013307204",82881,87000
"389","013",50023,"06013307205",82881,87000
"390","013",63839,"06013308001",82881,87000
"391","013",92321,"06013308002",82881,87000
"392","013",68393,"06013309000",82881,87000
"393","013",51175,"06013310000",82881,87000
"394","013",50538,"06013311000",82881,87000
